Back to 3000 ELO,
https://youtu.be/FqVMAv3wKes?si=qP8LzhO0zd3sibcY&t=1526,https://www.chess.com/game/live/5830938327?username=senseidanya
https://youtu.be/qW-mT-FbLnA?si=fKsq8w-o6uDKwS7H&t=12,https://www.chess.com/game/live/5831083915?username=senseidanya
https://youtu.be/qW-mT-FbLnA?si=hR7hJQFeU6r3714Q&t=950,https://www.chess.com/game/live/5845034015?username=senseidanya
https://youtu.be/OkjaIVnXg9o?si=NPjyM0-oimNpzFHs&t=6,https://www.chess.com/game/live/5845138966?username=senseidanya
https://youtu.be/OkjaIVnXg9o?si=JIjXSGwUVRfM_I9N&t=1138,https://www.chess.com/game/live/5845210321?username=senseidanya
https://youtu.be/WwRujiYpgq0?si=sFJS52TStTdte0QU&t=1,https://www.chess.com/game/live/5852707212?username=senseidanya
https://youtu.be/WwRujiYpgq0?si=AeF3Jx2cPNN1M1Cc&t=937,https://www.chess.com/game/live/5852773726?username=senseidanya
https://youtu.be/ZlIq20_wnho?si=m1Ue4ZpKxPITFHog&t=11,https://www.chess.com/game/live/5852815220?username=senseidanya
https://youtu.be/ZlIq20_wnho?si=xplvgK38n-stXVB7&t=663,https://www.chess.com/game/live/5852862143?username=senseidanya
https://youtu.be/ZlIq20_wnho?si=vjKLR-WDo-0oPBIM&t=1185,https://www.chess.com/game/live/5852901230?username=senseidanya
https://youtu.be/iQQDU3H7vaU?si=2oAk8iVPLWGVq0lg&t=11,https://www.chess.com/game/live/5860442631?username=senseidanya
https://youtu.be/iQQDU3H7vaU?si=4P0YRR0EUtvWDx_V&t=534,https://www.chess.com/game/live/5860481431?username=senseidanya
https://youtu.be/iQQDU3H7vaU?si=4eE2wGpcTpTZ1gnQ&t=1195,https://www.chess.com/game/live/5860530934?username=senseidanya
https://youtu.be/woqgGKERnps?si=P0obDloJzxj5ztUv&t=16,https://www.chess.com/game/live/5860591675?username=senseidanya
https://youtu.be/woqgGKERnps?si=Ub4BW4pCOzCOhOps&t=1111,https://www.chess.com/game/live/5860682705?username=senseidanya
https://youtu.be/woqgGKERnps?si=5HD-9w1CdWA0Zc6b&t=2056,https://www.chess.com/game/live/5860757196?username=senseidanya
https://youtu.be/woqgGKERnps?si=4amyYlAQWYv3wI_o&t=2151,https://www.chess.com/game/live/5860778108?username=senseidanya
https://youtu.be/wdHXvOBC8bw?si=qnZBryHV199o0Owm&t=8,https://www.chess.com/game/live/5913618253?username=senseidanya
https://youtu.be/wdHXvOBC8bw?si=GVJMBgpqjuca8JZz&t=664,https://www.chess.com/game/live/5913668334?username=senseidanya
https://youtu.be/wdHXvOBC8bw?si=sTykCBjPM45n5_Qa&t=1394,https://www.chess.com/game/live/5913762381?username=senseidanya
https://youtu.be/FPI9J8_LmJQ?si=18WZAr2CJiM7u1Ds&t=38,https://www.chess.com/game/live/5913408079?username=senseidanya
https://youtu.be/FPI9J8_LmJQ?si=ztBGcRTcRWkxSEx3&t=1149,https://www.chess.com/game/live/5913529555?username=senseidanya
https://youtu.be/n781_V5I0ac?si=yVskySOr6ycISmJi&t=9,https://www.chess.com/game/live/5914662573?username=senseidanya
https://youtu.be/n781_V5I0ac?si=rHiMMLlzFUjx1Wir&t=592,https://www.chess.com/game/live/5914695254?username=senseidanya
https://youtu.be/n781_V5I0ac?si=r0ryEo4sen_KhLDi&t=991,https://www.chess.com/game/live/5914721465?username=senseidanya
https://youtu.be/n781_V5I0ac?si=Q4UnBBS6wwAhthca&t=1137,https://www.chess.com/game/live/5914731665?username=senseidanya
https://youtu.be/9Iu56-1zzfI?si=iK4TsYWFYLbWiQv6&t=38,https://www.chess.com/game/live/5914794898?username=senseidanya
https://youtu.be/9Iu56-1zzfI?si=3xuar7Wd2tjqLmS0&t=735,https://www.chess.com/game/live/5922322547?username=senseidanya
