The Sensei Speedrun,
https://youtu.be/9qWUk9eDpTg?si=W3_I9NVNmCdkXP5W&t=9,https://www.chess.com/game/live/51516616231?username=senseidanya
https://youtu.be/-t1i9fKUUiI?si=XbRiMDHU5HEeHcsp&t=9,https://www.chess.com/game/live/51518414723?username=senseidanya
https://youtu.be/UVJ75kdDdt8?si=Ovbh_niPpJTw2Jk4&t=35,https://www.chess.com/game/live/51865217919?username=senseidanya
https://youtu.be/TGXiOtbbDLE?si=-3eGSGBidSqHna3v&t=8,https://www.chess.com/game/live/52040364635?username=senseidanya
https://youtu.be/QcQEDJuJDJg?si=MnEAKFjzQc8108bI&t=9,https://www.chess.com/game/live/52042224359?username=senseidanya
https://youtu.be/G1UdMY89U1k?si=N5pKEI2Sks4iZ38o&t=8,https://www.chess.com/game/live/52126756089?username=senseidanya
https://youtu.be/oUhyUlyh1Fs?si=eap6dh_UYvtk9xWr&t=8,https://www.chess.com/game/live/52130416181?username=senseidanya
https://youtu.be/1PI3xfMiUE4?si=qqmYL1ThajqmC1Y3&t=42,https://www.chess.com/game/live/52132816487?username=senseidanya
https://youtu.be/Ty0DEz4Wevw?si=Lnq6cfmRt5-GcniA&t=11,https://www.chess.com/game/live/52385419603?username=senseidanya
https://youtu.be/EN72rn5tVYI?si=x9ZFR7IeRNuO4OyQ&t=8,https://www.chess.com/game/live/52388993645?username=senseidanya
https://youtu.be/ngKFZPlhP2c?si=ntbG1VSlGHgKhAln&t=8,https://www.chess.com/game/live/53078955511?username=senseidanya
https://youtu.be/Gk7MNomOOSA?si=DZkz5EW1-beDQSyP&t=12,https://www.chess.com/game/live/53856616589?username=senseidanya
https://youtu.be/WmCImz1fv5s?si=1PDut_8nH-R-gHA8&t=13,https://www.chess.com/game/live/54222661589?username=senseidanya
https://youtu.be/CXvo1dMF1Qs?si=G2o2SMpgQUOeY3tB&t=10,https://www.chess.com/game/live/54315639923?username=senseidanya
https://youtu.be/w9n36SfEhfU?si=h1mzTPxAeKjCZ69b&t=11,https://www.chess.com/game/live/54544182775?username=senseidanya
https://youtu.be/opvsrx5TCdU?si=ZWbNt6PQ8IXzqEST&t=8,https://www.chess.com/game/live/55153570241?username=senseidanya
https://youtu.be/j2PgJHNFH0c?si=6JG7SSSx_u3i3DGx&t=10,https://www.chess.com/game/live/55154768321?username=senseidanya
https://youtu.be/Zko_JUK06vM?si=_o0xkpTJu-pGOLXw&t=13,https://www.chess.com/game/live/55406413263?username=senseidanya
https://youtu.be/898k4qkY0vg?si=Wb7apOIZHQ2QtV-Y&t=9,https://www.chess.com/game/live/55491589405?username=senseidanya
https://youtu.be/SV-y9Ai7QkA?si=PIGXZQEkCPQ6HzEQ&t=11,https://www.chess.com/game/live/56618991583?username=senseidanya
https://youtu.be/Ybg_2qbKXdA?si=mBsPbTqsx4qZdagv&t=15,https://www.chess.com/game/live/56705957813?username=senseidanya
https://youtu.be/ac2evoOBWko?si=FgwRAIvAcUF71qa_&t=15,https://www.chess.com/game/live/57309469893?username=senseidanya
